User;Time;esta/no esta
23942114;50663637; no esta
62692182;471893; esta
99953900;49471531; no esta
44469406;46876120; no esta
67475389;48593452; no esta
59842934;48673665; no esta
13408626;49046572; no esta
98769820;523946; esta
77862905;50033877; no esta
48251065;50357291; no esta
16100509;951466; esta
33360058;714240; esta
48398341;50024064; no esta
68564961;51182890; no esta
56295762;50212650; no esta
77782435;49552597; no esta
99246213;48174892; no esta
54663054;49082838; no esta
34398687;49554731; no esta
76850998;53400701; no esta
90814055;253866; esta
23516490;49527851; no esta
01024404;288427; esta
50862810;797013; esta
87412814;52125396; no esta
43822872;436479; esta
62031793;992852; esta
98141967;50296277; no esta
65162937;55153873; no esta
84588170;446720; esta
68106872;56961658; no esta
47769469;56253819; no esta
46814311;50445183; no esta
31346204;50224170; no esta
80088754;53051261; no esta
73707776;54343634; no esta
82905487;54412754; no esta
30784063;53241128; no esta
71529025;54228434; no esta
01706981;54370087; no esta
33560134;53608488; no esta
37352020;48927959; no esta
66629858;40533; esta
34002997;48912598; no esta
40301996;543573; esta
27303300;368640; esta
58647104;49336705; no esta
92892196;52205183; no esta
02869237;51395370; no esta
10144368;52477822; no esta
10335096;54613713; no esta
00109766;803839; esta
51865639;51335636; no esta
60895648;52606675; no esta
67758589;52007209; no esta
42703897;53493288; no esta
78679319;56268752; no esta
44760050;53867474; no esta
11121168;51370197; no esta
52290533;52248275; no esta
60117444;52055422; no esta
93208454;52917715; no esta
92604152;49494; esta
27997918;53554728; no esta
92402767;51837822; no esta
53767575;903679; esta
42016287;58767310; no esta
26496906;58811257; no esta
06589298;977919; esta
11994397;52779475; no esta
97944337;944213; esta
70063309;52781181; no esta
95837889;53382354; no esta
12237154;54521553; no esta
42087736;52630995; no esta
14345373;49967744; no esta
48368503;264960; esta
35951295;51334783; no esta
09908612;438187; esta
39862101;49507797; no esta
44205982;52684328; no esta
28168944;530773; esta
86427614;54454140; no esta
66889036;422400; esta
49519226;57345232; no 
