User;Time
36217711;32000
61231683;32854
51265949;34560
61369143;32000
46575194;32426
64687223;32427
13862393;34134
86905009;34560
42452584;32427
23132370;32427
15377787;32426
49206143;27307
34554600;31574
27046452;27734
83262152;25600
84595813;32427
65452590;32853
21144467;34987
20115210;37973
67717336;33280
84042557;32853
53696157;27306
24821814;32427
24396372;32427
58753091;32853
26163849;26453
68543244;32426
53660830;32854
64368355;69973
38616389;38400
47405209;41814
94049593;34560
83011304;43520
34572298;28586
99473949;34133
39927186;32000
21974416;34560
33789265;41387
76031570;32853
92375936;64853
51174702;49066
42457824;49493
06214965;45653
79803050;40534
69195131;50773
88834580;55893
50769867;58454
88128462;52480
68216800;53333
55802145;45226
72139485;46080
00355030;32853
16650182;32853
32055714;33706
43975627;33707
78702537;28587
36466708;33707
90624416;20054
24047231;34987
51915013;26027
67097056;33706
30231247;34987
89460343;33706
25962728;33707
68872918;33280
32927136;32854
04722078;32426
81455576;26454
42792650;20906
22145100;34134
06623557;33280
30099999;33707
38876244;33280
40627933;32853
64875567;27733
22565710;32427
87131898;32853
51650960;27307
75156396;32853
51673976;33707
19749669;33280
56534596;33707
85587714;32426
81851182;32854
94369162;27306
52698230;27307
03432069;26026
89960063;26454
17769529;33706
26235426;32854
99001189;21333
23457094;32854
42878323;48213
09625694;26880
85948553;34134
94004119;33706
46755917;32854
57401722;26880
60729671;32853
05491379;32854
31202186;32426
26099954;33707
87722315;32000
63900218;32426
69191737;26454
17996107;34560
30341673;34133
06648119;28587
35280861;34559
38305211;34560
04258412;32853
45546153;32427
50071755;39254
31885998;43946
96418983;31573
60761296;30293
31720748;31574
35729422;30720
86703957;47360
12477400;45227
17902590;30293
15563864;29440
02835346;30293
96632066;31146
38017499;30293
43523615;30294
09268668;30293
78742700;24747
40760181;30293
47473173;24320
26199072;29014
16268501;29866
02339829;30720
14842205;30293
64434586;76373
55704444;30719
69928316;24320
32160992;29440
59687177;30293
40385771;25173
17814234;30294
92279408;30720
79227300;31146
40998211;30720
44940446;30720
13428188;30293
90210155;30294
99965090;24746
46522855;30720
69384334;64853
23587828;30293
21686373;29866
45428722;31147
54372209;24747
52387828;30720
04551423;30720
13820643;30293
39087276;25174
39070519;30720
25027160;30293
24531484;30293
07695615;31146
85796616;29866
04232981;35840
12557027;45227
68328225;29013
73476441;43519
99638984;49066
66774625;38400
12012503;40534
60359100;34133
16778177;32854
87363054;31573
20155774;35413
15072318;32000
19522406;33280
96830605;30720
70426771;31574
70298968;32853
95900634;33280
77366448;32853
82820817;32854
40608761;26027
87697526;30720
91313634;32426
93109581;31574
09763183;25600
15878764;26880
98122472;32427
46184963;32000
14444553;37973
84743972;32426
94148550;26026
85612458;32426
93060057;32426
57156091;44373
10975527;29013
38680373;25173
66639586;30720
05433393;31146
56128155;32000
53659470;29867
17161256;25173
37156861;24746
48082719;26026
69018453;32427
60641118;44374
93115141;44374
33148368;32000
98964203;31147
08929752;25600
69665986;30719
90418078;31573
07585613;25174
87027022;31147
53354015;23894
83973312;30720
88538542;24747
48807338;31147
13335944;30720
35030191;31147
83586158;48640
65001132;45227
70479662;30293
34148863;29866
12605222;29866
12338295;29866
97265029;29439
36598764;31573
22206916;30720
63456061;32853
17040468;30294
32555376;31147
92772625;40533
91949260;29440
67872666;30720
56883128;50347
76194147;84053
99783642;41814
57130724;48214
66062632;51626
15699984;46506
62722527;54613
89793977;54187
76896612;33280
60084192;63146
23714397;31573
45181498;46933
82923983;31573
04499464;37120
51375946;31573
65199167;46080
88688180;31147
26940988;26453
55711935;32000
01243268;32000
84876344;32000
06988901;31146
94484335;32000
69391385;39253
65157921;39253
16090636;42666
62574055;31573
86565561;31147
39849082;31574
40580722;31573
64422331;26879
53413048;32000
01793264;38400
92931840;29866
24398333;31146
74613146;24320
90837515;25600
78934490;30720
45198697;64000
94217471;35413
71423200;54186
09315147;31574
48255122;31147
79681017;30720
66256011;30720
69809517;25173
07593295;31146
99093078;30293
95834120;31147
07187999;24747
69390011;46934
07817855;46080
52923784;30720
45916438;25174
35149403;30720
59876947;31146
39200052;25173
95923522;25173
66192678;31147
50182882;26453
56693117;31573
15419353;32000
81318694;31146
89895537;38400
05830123;38400
16270784;25173
39296683;31574
74203995;31147
01576828;31147
07227700;32000
26655112;33280
37645292;31574
59059460;32427
51227900;31146
78901839;33280
24453284;30720
85991042;26453
37435183;31146
49490115;28586
52367092;31146
89822106;31573
80036080;59307
66854075;25600
72540398;25174
50397987;31574
99149951;29867
21377822;30720
05392546;32854
04633905;31573
23012660;29866
85302815;26454
20383070;31147
76420233;30720
59269344;30720
94808516;64853
11872443;33280
56813406;77227
35109995;32853
89333921;27307
04280188;32426
28169534;28160
21403365;26027
27637539;58453
80937426;31146
76209805;25174
42346644;29440
70896342;47360
08266804;43946
87829541;31146
12741036;30293
34384671;30720
51485516;29440
50306282;24746
48996998;30294
14294660;32000
20868207;31573
43522847;31146
61560708;31146
17821389;32853
05284615;31147
30615006;25173
19062275;25600
30017226;65280
97107130;25600
47902035;25174
32990669;31147
92991253;31999
19387464;32427
46065652;30294
84875655;30293
85092790;30720
66862933;30293
38789341;30294
64439539;30293
37546732;30293
74719992;29867
70484764;29867
49615858;34133
85315353;40960
83527209;32853
99467219;45226
07644237;25173
97944337;39253
24678574;26026
02960618;24320
69179366;24747
84325522;30293
96361805;25174
76475723;30293
34487061;29866
01556985;31146
75739146;29867
45672701;68266
53359901;31147
53347689;24747
30130984;31147
23418821;29440
15171495;30293
86210664;29440
82833564;30294
51013557;30293
43396077;29866
48195471;29440
51729636;30720
01756955;29866
29442432;19200
06083233;30720
16100509;82347
46519329;31573
70509165;44373
85202757;30720
67463944;24747
08661792;30293
14249558;29866
75442618;30293
96182619;29866
77384299;29440
12107554;31147
42322841;30293
41899987;29440
84733224;30293
09147479;62720
92739466;26880
77706134;30720
15835593;24320
22258427;29867
68942960;29867
44857735;30294
59495003;29440
00521005;29013
07091123;29440
31804736;30720
13069876;23894
96595814;29867
83394781;30293
58054599;31146
22717516;23893
76499199;63147
40728020;29867
32972221;30720
18241295;30293
36198243;31146
25817698;31146
72846420;31146
59357824;24746
27596094;30294
16311316;24747
13105267;50773
26680714;47360
07069999;49493
34812882;47786
75538181;47787
15909864;41387
96137614;37973
09467878;63147
87889479;49494
47603167;41387
79511726;49920
92248474;83200
