User;Time;esta/no esta?
44895460;25069195;no esta
26077268;23699597;esta
02252209;27342471;no esta
19332715;25924233;no esta
04948963;25180981;no esta
71324779;26192180;no esta
17785943;27076659;no esta
96615713;25479647;no esta
78116117;26688819;no esta
34505853;23403064;esta
72592514;26548873;no esta
85376450;28450950;no esta
77945735;25460874;esta
47964945;23365090;esta
05755985;25037621;no esta
76459626;25222794;no esta
72381484;25017568;no esta
17933795;25192075;no esta
96140398;24941195;no esta
80951899;24769675;no esta
21919145;25460447;no esta
34832703;25095221;esta
36664255;28255537;no esta
37210160;25076022;no esta
71338428;25082848;no esta
93780860;25814581;no esta
95712301;21047866;esta
94905330;25118261;no esta
85768739;25360180;no esta
92416120;26527540;no esta
24100044;26068446;no esta
37567629;25186527;no esta
36458341;23131277;esta
95376790;25159648;no esta
35363332;25069195;no esta
76666284;25120821;no esta
98450353;24368183;no esta
09261996;23249890;esta
30818497;24982154;esta
60612719;25102048;no esta
30106584;25606794;no esta
88792566;28342151;no esta
53026777;27486258;no esta
05909810;24974901;no esta
85764134;24622475;no esta
39162728;23713249;esta
78232025;23545570;esta
49479592;24683489;no esta
95649238;23397943;esta
54472255;25343115;no esta
36158373;25287221;no esta
42212074;24854581;no esta
80638509;24830689;no esta
16298941;23551117;esta
70250962;23815223;esta
64989989;25764661;no esta
24439288;23178637;esta
46471734;25075594;no esta
31015576;23429943;esta
24495458;26648713;esta
87786536;27135965;no esta
33972571;1174612;esta
96793251;27077086;no esta
94612413;28025565;no esta
49741059;29019696;no esta
17271445;26293726;no esta
88023238;28539270;no esta
14596324;25968180;esta
86167967;24935648;no esta
88184911;25292341;no esta
63526910;29092656;no esta
02400741;25667381;no esta
06702509;25499701;no esta
91206491;8156149;esta
20916234;23329251;esta
69852646;25050848;no esta
14617685;25071755;no esta
42348160;27811805;no esta
31970143;24810208;no esta
80914119;24592608;no esta
74447197;14900887;esta
21195226;23099703;esta
53192405;26205406;no esta
62270815;26685406;no esta
18515149;24991115;no esta
30881218;25674634;no esta
80396670;26754526;no esta
39578289;23019917;esta
00373935;25643487;no esta
36942536;25349941;no esta
22612527;24229089;esta
36433853;27040818;no esta
35336022;22982797;esta
22597362;24665568;no esta
18391353;25037621;no esta
17538217;24398902;esta
97580466;22806157;esta
94822275;24171063;esta
71837824;23324983;esta
67235073;26477192;no esta
56713209;26415753;no esta
86595034;24291809;no esta
08981927;27100978;no esta
06470529;26023647;esta
89129133;26333407;esta
46430084;24742795;no esta
