User;Time;esta/no esta?
40343821;3142396;no esta
93771763;2646610;esta
97730314;3584848;esta
64962007;2822397;esta
04092777;2911569;esta
32060905;3264422;no esta
15373112;2911143;no esta
98305963;3240955;no esta
80436102;3429115;no esta
23942114;3208956;no esta
62692182;2795517;esta
99953900;2918396;no esta
44469406;3243089;no esta
67475389;3063036;no esta
59842934;3087356;no esta
13408626;3282769;no esta
98769820;2973010;esta
77862905;3082663;no esta
48251065;3291303;no esta
16100509;3074556;esta
33360058;2854397;esta
48398341;3179089;no esta
68564961;3380049;no esta
56295762;3365542;no esta
77782435;3388582;no esta
99246213;3184209;no esta
54663054;3193596;no esta
34398687;3354023;no esta
76850998;3396262;no esta
90814055;3020370;esta
23516490;3144529;no esta
01024404;3019090;esta
50862810;2891943;esta
87412814;3316476;no esta
43822872;3054930;esta
62031793;3094610;esta
98141967;3118076;no esta
65162937;3234129;no esta
84588170;2999889;esta
68106872;3588262;no esta
47769469;3205542;no esta
46814311;3039997;no esta
31346204;3031889;no esta
80088754;3144103;no esta
73707776;3108689;no esta
82905487;3109116;no esta
30784063;3512742;no esta
71529025;3158182;no esta
01706981;2967463;no esta
33560134;3141116;no esta
37352020;3080956;no esta
66629858;3003729;esta
34002997;3084797;no esta
40301996;3321169;esta
27303300;2830076;esta
58647104;3073703;no esta
92892196;3217916;no esta
02869237;3157330;no esta
10144368;2978556;no esta
10335096;3226449;no esta
00109766;2986236;esta
51865639;3017383;no esta
60895648;3121489;no esta
67758589;3319463;no esta
42703897;3086929;no esta
78679319;3546449;no esta
44760050;2951676;no esta
11121168;3334395;no esta
52290533;2966610;no esta
60117444;3471782;no esta
93208454;3287462;no esta
92604152;3072423;esta
27997918;3133862;no esta
92402767;3107409;no esta
53767575;2848423;esta
42016287;3245223;no esta
26496906;3159035;no esta
06589298;2966610;esta
11994397;3334395;no esta
97944337;2841170;esta
70063309;3205970;no esta
95837889;3438075;no esta
12237154;3092903;no esta
42087736;3228583;no esta
14345373;3247782;no esta
48368503;2949117;esta
35951295;3130450;no esta
09908612;2897063;esta
39862101;3195729;no esta
44205982;3254609;no esta
28168944;2972156;esta
86427614;3304956;no esta
66889036;2865063;esta
49519226;3144529;no esta
79201485;3233703;no esta
83216116;2906449;esta
23604909;2984102;no esta
86744299;3143249;no esta
22505601;2968316;no esta
81092200;3100582;no esta
30318216;3017809;no esta
57571262;3738875;no esta
14706874;3445329;no esta
84655498;3175676;no esta
74485169;3272102;no esta
86902031;2950823;no esta
83071472;3205116;no esta
10127345;3353596;no esta
71474141;3146663;no esta
76179629;3245223;no esta
37534865;3182929;no esta
39669769;3282770;no esta
88358835;3056209;no esta
27817078;3377915;no esta
50812911;3141116;esta
31523308;2786983;esta
12148440;3461542;no esta
23194806;3059196;no esta
72929419;3307089;esta
97465154;3245650;no esta
33358934;2882129;esta
10646462;7522551;no esta
55621208;2800636;esta
16433963;3045969;no esta
43012280;3275516;no esta
27679475;3036156;esta
60325928;3166716;no esta
56651149;3643729;no esta
22006295;3024636;no esta
45450941;2981116;no esta
62086144;3019090;no esta
84084737;3530236;no esta
73667804;3163729;esta
24297986;3042129;esta
01736972;3560955;no esta
43511643;3188049;no esta
83349924;3138130;no esta
64342618;3420156;esta
73947350;3084369;no esta
15095105;3233702;no esta
56208462;3418449;no esta
63536009;3069436;esta
14661491;3270396;no esta
02926603;3147089;esta
07469079;2894076;esta
82523004;2990929;esta
52695124;3146236;no esta
12414039;2984529;esta
58823608;3115089;no esta
26221356;2963196;esta
12849194;3226023;no esta
96993962;3156903;no esta
50851395;3217489;no esta
13018486;3581862;no esta
08031216;3087356;no esta
79641456;3318610;no esta
74701466;3278929;no esta
56351505;3274236;no esta
23514760;3466235;no esta
00521005;3139836;esta
87373387;3165009;no esta
00464501;2972582;esta
42928590;3653542;no esta
32053865;3171410;esta
03517138;2894929;esta
35063286;3576315;no esta
42750818;3277222;no esta
01016525;3089916;no esta
26775689;3169276;no esta
65700444;2869756;esta
99644963;3114663;no esta
96252264;3659515;no esta
40905310;3106129;no esta
64356815;3018236;no esta
46973016;3927035;no esta
86793204;3311782;esta
46756604;2944423;no esta
59989664;3483728;no esta
70335284;3060476;no esta
74456493;2860797;esta
79490093;3073276;no esta
39739734;3073703;no esta
44415065;3076262;no esta
48130021;2778450;esta
09549256;3375356;esta
30036403;2835196;esta
52415575;3234983;no esta
75033049;3163303;no esta
46260129;3177809;no esta
63504187;3073276;no esta
55211808;3087783;esta
33290641;3168850;esta
07883893;2891517;esta
61177954;3046823;esta
68577003;2995623;esta
20924269;3461969;no esta
03399836;3224316;no esta
63985057;3127463;esta
84047343;3183356;no esta
00262841;2793810;esta
80368767;3542608;no esta
14003407;3164156;no esta
66318747;2776316;esta
55082099;3498662;no esta
97937261;3190183;no esta
33300436;3247782;no esta
66164725;3011836;esta
55311654;3195729;no esta
33599077;3122770;no esta
35170621;3183356;no esta
77597569;3234129;no esta
85567015;3013970;no esta
20035377;3228582;no esta
23333783;3116796;no esta
63543380;2978557;no esta
79245998;3357009;no esta
89804404;3555835;no esta
51450778;2787410;esta
40664390;3016102;no esta
77830766;2928637;esta
04956979;3197009;no esta
80295458;3348050;no esta
07483887;3269969;no esta
08801960;3329276;no esta
23316726;800852;esta
33384613;3095463;no esta
65265541;3391143;no esta
23842197;3230289;no esta
67160082;3117223;no esta
57533425;3397543;no esta
00939669;3510609;no esta
45355142;3261436;no esta
04625369;3038716;esta
47759838;3063463;esta
87245899;3365969;no esta
95261019;3144529;esta
74288860;3262715;no esta
68517382;3365969;no esta
31135321;3305809;no esta
86126816;3266129;no esta
07303628;3218343;no esta
58510806;3761062;no esta
32988270;2981969;no esta
13273632;3049383;no esta
22675359;3198289;no esta
29470126;3214502;no esta
82076754;2841170;esta
90079855;3315196;no esta
12711060;3257169;no esta
01379922;3056209;esta
57956345;2751144;esta
29337318;3043836;no esta
77444549;2993490;no esta
11669604;3158609;no esta
27351917;3285756;no esta
82195944;3485009;no esta
73756982;3104850;no esta
54165972;3911675;no esta
88317390;3379622;no esta
49292957;3275516;no esta
93861472;3043409;esta
43711275;3008423;esta
68194318;2792957;esta
13453079;3446182;esta
21612177;3330129;no esta
79310079;3033596;esta
67483447;3270822;no esta
45989685;3073703;no esta
67096782;3017809;esta
04391968;3201702;no esta
16621970;2926076;esta
91503286;3261863;no esta
14684424;3300689;no esta
86875512;3161596;no esta
80851519;55040;esta
39463308;3074129;no esta
94305364;3225596;no esta
95008305;2890236;esta
52427211;3190610;no esta
87266879;3003730;esta
92957323;3425276;no esta
04317054;3079676;no esta
34316113;3124902;esta
38370064;3017809;esta
94908765;2962343;esta
20478880;3169276;no esta
71435852;2791677;esta
24370008;3083942;no esta
04558247;2962769;no esta
35566910;2935889;esta
71174206;3187196;no esta
53135925;3020369;no esta
32764226;3141542;no esta
31793557;2860796;esta
77164779;2700796;esta
72678126;2898770;no esta
19196612;2787837;esta
96967821;2923943;esta
77204008;3108689;no esta
88434140;3023783;no esta
16833157;2844157;esta
95072849;3176103;no esta
84285565;2704210;esta
